title,provider,source,category,eligibility_text,amount,deadline,apply_url,
Education Fee reimbursement for open category students affected due to SEBC and EWS reservation in medical and Dental colleges,Directorate of Medical Education and Research,MahaDBT,General / EWS,Open category and EWS students in Medical or Dental colleges affected by SEBC/EWS seat changes.,Reimbursement of the difference between actual tuition fees and subsidized rates.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Eklavya Scholarship,Directorate of Higher Education,MahaDBT,Merit Based / General,"Graduate students with min. 60% (Arts/Comm/Law) or 70% (Science) marks; Family income limit ₹75,000.","Rs. 5,000 per year.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Government of India Post-Matric Scholarship,Social Justice and Special Assistance Department,MahaDBT,SC,"Scheduled Caste (SC) students; annual family income up to ₹2,50,000.","100% Tuition & Exam Fee reimbursement + monthly maintenance allowance (Rs. 230 to Rs. 1,200).",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Government Research Adhichatra,Directorate of Higher Education,MahaDBT,Research,Post-graduate students engaged in full-time research in recognized universities.,"Rs. 750 per month + Rs. 1,000 per year for incidental/contingency expenses.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Government Vidyaniketan Scholarship,Directorate of Higher Education,MahaDBT,Merit Based,Meritorious students from Government Vidyaniketan schools.,Standardized state-level merit scholarship amount.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Jawaharlal Nehru University Scholarship,Directorate of Higher Education,MahaDBT,Merit Based / Institutional,"Maharashtra students secured admission for post-graduate studies at JNU, New Delhi.","Rs. 8,000 per month + Rs. 10,000 per year for incidental expenses.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Maintenance Allowance for student Studying in professional courses,Social Justice and Special Assistance Department,MahaDBT,SC / Professional,Scheduled Caste (SC) students in professional courses residing in a recognized hostel.,"Rs. 7,000 to Rs. 10,000 per year (disbursed monthly over 10 months).",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Merit Scholarships for Economically Backward Class Students,School Education and Sports Department,MahaDBT,Merit Based / General,Economically Backward Class (EBC) students with high merit in school-level exams.,Rs. 50 to Rs. 100 per month for 10 months.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Open Merit Scholarships in Junior College,School Education and Sports Department,MahaDBT,Merit Based,Junior College students (11th/12th) based on academic performance in SSC (10th) exams.,Rs. 50 per month for 10 months.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Payment of Maintenance Allowance to VJNT and SBC Students Studying in Professional Courses and Living in Hostel Attached to Professional Colleges,"OBC, SEBC, VJNT & SBC Welfare Department",MahaDBT,VJNT / SBC / Hostel,VJNT or SBC students in professional courses residing in a recognized hostel.,"Rs. 7,000 to Rs. 10,000 per year (disbursed monthly over 10 months).",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Payment of Tuition Fees and Examination Fees to OBC Girls Pursuing Professional Courses,"OBC, SEBC, VJNT & SBC Welfare Department",MahaDBT,OBC / Professional / Girls,OBC female students in professional courses admitted through CAP.,100% Tuition Fee and 100% Examination Fee reimbursement.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Post Matric Scholarship Scheme (Government Of India ),Tribal Development Department,MahaDBT,ST,"Scheduled Tribe (ST) students; annual family income up to ₹2,50,000.","100% Tuition & Exam Fee reimbursement + monthly maintenance allowance (Rs. 230 to Rs. 1,200).",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Post Matric Scholarship to OBC Students,"OBC, SEBC, VJNT & SBC Welfare Department",MahaDBT,OBC,"OBC category students; annual family income up to ₹1,50,000.",100% Tuition & Exam Fee reimbursement + maintenance allowance as per course group.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Post Matric Scholarship to SBC Students,"OBC, SEBC, VJNT & SBC Welfare Department",MahaDBT,SBC,"Special Backward Class (SBC) students; annual family income up to ₹1,50,000.","100% Tuition & Exam Fee reimbursement + maintenance allowance (Rs. 230 to Rs. 1,200/month).",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Post Matric Scholarship to the Girls Belonging to Other Backward Classes taking admission in Professional Courses,"OBC, SEBC, VJNT & SBC Welfare Department",MahaDBT,OBC / Professional / Girls,OBC female students in professional courses admitted through CAP.,100% Tuition Fee and 100% Examination Fee reimbursement.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Post Matric Scholarship to VJNT Students,"OBC, SEBC, VJNT & SBC Welfare Department",MahaDBT,VJNT,"VJNT students; annual family income up to ₹1,50,000.","100% Tuition & Exam Fee reimbursement + maintenance allowance (Rs. 230 to Rs. 1,200/month).",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Post-Matric Scholarship for persons with disability,Social Justice and Special Assistance Department,MahaDBT,General / Disability,Students with disabilities across various social categories.,Monthly maintenance allowance and fee reimbursement on par with GOI scales.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Post-Matric Tuition Fee and Examination Fee (Freeship),Social Justice and Special Assistance Department,MahaDBT,SC / General,"SC students; annual family income exceeding ₹2,50,000.",100% Tuition Fee and Examination Fee reimbursement (No maintenance allowance).,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship for students studying in 11th & 12th standard of VJNT & SBC category,"OBC, SEBC, VJNT & SBC Welfare Department",MahaDBT,Merit Based / VJNT / SBC,VJNT and SBC students in 11th and 12th standards with high academic merit.,"Rs. 300 per month for 10 months (Total Rs. 3,000 per year).",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme,Directorate of Higher Education,MahaDBT,General / EBC,"Students with family income up to ₹8,00,000; DHE courses.",Reimbursement of tuition and examination fees.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna(EBC),"Mahatma Phule Krishi Vidyapeeth, Rahuri",MahaDBT,General / EBC,"Agriculture students with income up to ₹8,00,000 admitted via CAP.",50% Tuition Fee and 50% Exam Fee reimbursement (aided/unaided colleges).,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna(EBC),Directorate of Technical Education,MahaDBT,General / EBC,"Technical students (Engineering, MBA, etc.) with income up to ₹8,00,000 admitted via CAP.",50% Tuition Fee and 50% Exam Fee reimbursement.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna(EBC),Directorate of Art,MahaDBT,General / EBC,"Fine Arts students with income up to ₹8,00,000 admitted via CAP.",50% Tuition Fee and 50% Exam Fee reimbursement.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna(EBC),MAFSU Nagpur,MahaDBT,General / EBC,"MAFSU students with income up to ₹8,00,000 admitted via CAP.",50% Tuition Fee and 50% Exam Fee reimbursement.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme,Directorate of Medical Education and Research,MahaDBT,General / EBC,Health Science students in Govt and Government-aided health science courses.,Partial or Full Tuition Fee Reimbursement based on course baseline fees.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Rajarshri Chhatrapati Shahu Maharaj Merit Scholarship,Social Justice and Special Assistance Department,MahaDBT,Merit Based / SC,Scheduled Caste (SC) students appearing in the merit list of school/college exams.,Standardized state merit award amount.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Reimbursement of tuition fee and examination fee for girls under Rajarshri Chhatrapati Shahu Maharaj Tuition Fee Scholarship Scheme (100% Tuition Fee + Exam Fee),Directorate of Medical Education and Research,MahaDBT,General / Girls,Female medical students in professional courses.,100% Tuition Fee + Examination Fee reimbursement.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Scholarship for students of minority communities pursuing Higher and Professional courses of MCAER Department,Minority Development Department,MahaDBT,Minority,"Minority students (Muslim, Buddhist, Christian, etc.) in Agriculture; income up to ₹8L.","Rs. 25,000 per year or actual tuition fee, whichever is less.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Scholarship for students of minority communities pursuing Higher and Professional courses(DMER),Minority Development Department,MahaDBT,Minority,Minority students in Medical courses (DMER); income up to ₹8L.,"Rs. 25,000 per year or actual tuition fee, whichever is less.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Scholarship for students of minority communities pursuing Higher and Professional courses(DTE),Minority Development Department,MahaDBT,Minority,Minority students in Technical courses (DTE); income up to ₹8L.,"Rs. 25,000 per year or actual tuition fee, whichever is less.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Scholarship to Meritorious students possessing Mathematics /Physics,Directorate of Higher Education,MahaDBT,Merit Based / Science,Students with 60% min marks pursuing degree in Physics or Mathematics.,Rs. 100 per month.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
State Government Daxshina Adhichatra Scholarship,Directorate of Higher Education,MahaDBT,Merit Based / Postgraduate,High-ranking graduate students pursuing postgraduate studies in recognized universities.,Rs. 250 per month.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
State Government Open Merit Scholarship,Directorate of Higher Education,MahaDBT,Merit Based,Meritorious students based on high academic performance in qualifying exams.,Rs. 100 per month.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
State Minority Scholarship Part II (DHE),Minority Development Department,MahaDBT,Minority,Minority students in non-professional graduation or post-graduation (Arts/Comm/Sci).,"Rs. 5,000 per year.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Stipend of Rs. 500 per month for trainees in Craftsman Training Scheme in Govt ITI,"Skill Development, Employement And Entrepreneurship Department",MahaDBT,General / Vocational,Trainees in Government ITIs under the Craftsman Training Scheme (CTS).,Rs. 500 per month.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Tuition Fee & Exam Fee for Tribal Students ( Freeship),Tribal Development Department,MahaDBT,ST,"ST students; annual family income exceeding ₹2,50,000.",100% Tuition Fee and Examination Fee reimbursement.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Tuition Fees and Examination Fees to OBC Students,"OBC, SEBC, VJNT & SBC Welfare Department",MahaDBT,OBC,OBC category students enrolled in professional or non-professional higher education.,Reimbursement of actual Tuition Fees and Examination Fees.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Tuition Fees and Examination Fees to SBC Students,"OBC, SEBC, VJNT & SBC Welfare Department",MahaDBT,SBC,SBC students enrolled in higher education courses.,Reimbursement of actual Tuition Fees and Examination Fees.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Tuition Fees and Examination Fees to VJNT Students,"OBC, SEBC, VJNT & SBC Welfare Department",MahaDBT,VJNT,VJNT students pursuing higher education in state-recognized institutions.,100% reimbursement of Tuition and Examination fees.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Vocational Education Fee Reimbursement,Tribal Development Department,MahaDBT,ST / Vocational,Scheduled Tribe (ST) students enrolled in recognized vocational or technical courses.,100% reimbursement of vocational tuition and examination fees.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Vocational Education Maintenance Allowance,Tribal Development Department,MahaDBT,ST / Vocational / Hostel,Scheduled Tribe (ST) students in vocational courses residing in hostels.,"Monthly maintenance allowance of Rs. 700 to Rs. 1,000.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Vocational Training Fee reimbursement for the OBC, SEBC, VJNT & SBC Welfare Department students,VJNT / OBC / SBC / Vocational,"OBC, SEBC, VJNT, or SBC students in vocational training or skill-based diplomas.",100% reimbursement of the vocational training fees.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Vocational Training Fee reimbursement for the students belonging to Scheduled Caste category Students,Social Justice and Special Assistance Department,MahaDBT,SC / Vocational,Scheduled Caste (SC) students enrolled in vocational training programs.,Reimbursement of approved vocational training fees.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Vocational Training Fee reimbursement for the students belonging to Scheduled Tribe Category,Tribal Development Department,MahaDBT,ST / Vocational,Scheduled Tribe (ST) students enrolled in vocational training programs.,Reimbursement of approved vocational training fees.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Vocational Training Fee reimbursement for the students belonging to socially and educationally backward class and Open Category (Economically weaker section) students,"Skill Development, Employement And Entrepreneurship Department",MahaDBT,General / EWS,"SEBC, Open, and EWS students enrolled in vocational training or skill-based courses.",Reimbursement of approved vocational training fees.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
